11028,175
11064,450
11080,235
10869,375
11045,185
10882,230
10990,450
11081,265
11072,130
11025,230
10937,250
10824,170
11078,260
11058,250
10891,225
10974,250
11082,230
11076,175
11011,355
11067,300
11027,255
10920,410
11066,255
10801,170
10917,245
10968,170
10997,135
10957,135
11023,165
11059,330
10923,150
10928,175
11068,200
11075,335
11020,750
10933,200
10876,300
10989,260
10916,210
10750,125
11031,235
10911,180
11057,170
10999,270
10991,145
11018,435
10935,150
11039,220
10767,145
10899,235
11040,215
10979,330
10914,185
11063,250
11050,185
10796,185
10978,175
11054,200
10802,695
10947,500
10943,235
11051,190
10927,175
11035,300
11056,300
11026,675
10892,210
10823,840
11087,1000
11032,175
11038,145
11022,160
11021,170
11030,280
10912,270
11061,260
10843,160
11043,110
11055,190
11002,185
10905,170
11037,220
10898,235
10849,160
11083,325
